日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2018/2/1,29.207,4.636407,1.2433,109.465,1.42495,0.80245,7.8209,6.2995,11.8791,0.7365
2018/2/2,29.235,4.652838,1.2506,109.785,1.42455,0.80025,7.8192,6.28325,11.949,0.73635
2018/2/5,29.307,4.647152,1.2444,109.8,1.41055,0.7925,7.8208,6.30645,12.0602,0.7305
2018/2/6,29.386,4.668436,1.2415,109.09,1.39755,0.78735,7.8192,6.2946,12.10875,0.73035
2018/2/7,29.27,4.668331,1.23745,109.05,1.3936,0.78755,7.8197,6.2699,11.91235,0.7321
2018/2/8,29.39,4.633304,1.22595,109.57,1.38755,0.78285,7.819,6.3432,12.07285,0.72085
2018/2/9,29.407,4.658804,1.2274,109.175,1.39575,0.77805,7.8189,6.31215,12.10225,0.72135
2018/2/12,29.4,4.641907,1.2262,108.625,1.3835,0.7813,7.81935,6.3336,11.961,0.7249
2018/2/21,29.245,4.614305,1.23215,107.655,1.3973,0.78515,7.8249,6.3379,11.7117,0.73425
2018/2/22,29.301,4.613355,1.2273,107.36,1.3882,0.7798,7.8238,6.35135,11.7228,0.73165
2018/2/23,29.306,4.627623,1.23,106.89,1.3953,0.7829,7.82275,6.33285,11.6531,0.73075
2018/2/26,29.235,4.636846,1.2329,106.62,1.4038,0.7887,7.8234,6.30495,11.51795,0.73425
2018/2/27,29.23,4.636492,1.2337,107.01,1.39855,0.7853,7.82625,6.30435,11.5553,0.72945
2018/3/1,29.318,4.620487,1.2201,106.86,1.37595,0.7732,7.8273,6.3452,11.8441,0.72115
2018/3/2,29.29,4.613204,1.2259,105.78,1.37645,0.77605,7.82935,6.34915,11.87525,0.7269
2018/3/5,29.292,4.618938,1.2294,105.46,1.3775,0.7736,7.8315,6.3417,11.991,0.7206
2018/3/6,29.287,4.619292,1.23355,106.1,1.38225,0.7765,7.83275,6.34015,11.8395,0.72395
2018/3/7,29.254,4.629504,1.24175,105.675,1.3879,0.78165,7.8345,6.31905,11.8222,0.7294
2018/3/8,29.261,4.622477,1.2403,105.95,1.3896,0.78125,7.8337,6.33015,11.8777,0.7285
2018/3/9,29.3,4.62436,1.2312,106.715,1.383,0.78025,7.8396,6.336,11.9007,0.7277
2018/3/12,29.28,4.631598,1.2331,106.555,1.38685,0.7875,7.84005,6.3218,11.7877,0.7317
2018/3/13,29.252,4.621085,1.2322,106.96,1.38975,0.78665,7.8394,6.3301,11.84595,0.73185
2018/3/14,29.257,4.633928,1.2373,106.68,1.3951,0.78835,7.8415,6.31365,11.75175,0.73275
2018/3/15,29.2,4.623586,1.23705,106.12,1.39835,0.78695,7.8408,6.31545,11.80875,0.73215
2018/3/16,29.231,4.62259,1.2312,105.74,1.39325,0.77915,7.84335,6.3235,11.9426,0.7254
2018/3/19,29.201,4.613232,1.227,105.915,1.3934,0.7694,7.84395,6.32985,12.0644,0.72
2018/3/20,29.175,4.610584,1.2345,106.46,1.40545,0.77025,7.8445,6.32785,11.99505,0.722
2018/3/21,29.189,4.613321,1.2279,106.33,1.4028,0.7695,7.84615,6.3271,11.9773,0.7174
2018/3/22,29.153,4.61527,1.23645,105.7,1.416,0.7756,7.8463,6.31665,11.782,0.72485
2018/3/23,29.17,4.61274,1.23245,105.07,1.4108,0.77275,7.84845,6.3238,11.82205,0.72415
2018/3/26,29.153,4.63696,1.23785,105.13,1.41815,0.7733,7.8473,6.2871,11.6408,0.72835
2018/3/27,29.135,4.65082,1.24415,105.49,1.4158,0.7725,7.84665,6.2645,11.6522,0.72815
2018/3/28,29.163,4.645987,1.24035,105.55,1.41735,0.76635,7.84725,6.27705,11.68955,0.72525
2018/3/29,29.165,4.641843,1.23055,106.585,1.40505,0.767,7.84855,6.28305,11.8084,0.71945
2018/3/30,29.12,4.647377,1.2323,106.19,1.4053,0.77005,7.84855,6.2659,11.83335,0.7245
